source	target
CCR2	CXCL3
CCR2	CCR5
CCR3	CCL4
CCR3	GNB1
CCR3	CCL3
CCR3	CCL5
HRAS	CCL4
HRAS	GNB1
HRAS	FGF1
HRAS	VAV1
HRAS	RASSF5
HRAS	AKT1
HRAS	HCK
HRAS	UBC
HRAS	PIK3R1
CCR4	CCL4
CCR4	GNB1
CCR4	CCL5
CCR4	CCR3
CCR4	CXCL2
CCR4	CXCR4
CCR4	SAA1
CCR4	POMC
CCR4	CXCL12
CCR4	CXCL1
CCR4	ANXA1
CCR4	CXCR3
CCR4	AGT
CCR4	CCL20
CCR4	PTGER3
CCR4	GNAI1
CCR4	GNG2
CCR4	PTGDR2
CCR5	CCL4
CCR5	GNB1
CCR5	CCL3
CCR5	CCL5
CCR5	CCR3
CCR5	CXCL2
CCR5	IL10
CCR5	CXCR4
CCR5	SAA1
CCR5	POMC
CCR5	CXCL12
CCR5	CXCL1
CCR5	CCL8
CCR5	EDN1
CCR5	CCL7
CCR5	ANXA1
CCR5	CXCR3
CCR5	JUN
CCR5	AGT
CCR5	CCL20
CCR5	PTGER3
CCR5	GNAI1
CCR5	GNG2
CCR5	PTGDR2
CCR5	CCR4
CCR5	F2
CCR5	CXCL8
CCR5	CXCL10
CCR5	CCL11
CCR5	CCR1
CCR5	CXCL3
CCR5	PTGER1
RAC1	PLCG2
RAC1	GNB1
RAC1	VAV1
RAC1	AKT1
RAC1	PIK3R1
RAC1	MAP2K4
RAC1	HRAS
RAC1	RHOA
RAC1	MAPK9
RAC1	SOS1
RAC1	CXCR4
RAC1	ITGB1
RAC1	CXCL12
RAC1	MAPK8
RAC1	SPP1
RAC1	BAD
RAC1	EDN1
RAC1	SYK
RAC1	SRC
RAC1	HSP90AB1
RAC1	NRAS
RAC1	NGF
RAC1	FCGR3A
RAC1	MAPK10
CTSG	ELANE
CTSG	CECR1
CTSG	PRKCD
CTSG	MMP9
CTSG	AGT
CTSG	PTGES2
CTSG	MMP1
CTSG	TOLLIP
CTSG	IGF1
CTSG	BPI
