source	target
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensIRF3
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensTNF
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensSYK
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensTIRAP
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensNFKB1
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensTRAF6
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensPLG
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensCD14
Diseases	MMP9
Diseases	PLAU
Diseases	MMP2
Diseases	GREM1
Diseases	RTEL1
Diseases	ELMOD2
Diseases	PTX3
Diseases	CTGF
Diseases	CEBPB
Diseases	IL12B
Diseases	IL13
Diseases	TGFA
Diseases	TIMP1
Diseases	MT2A
Diseases	CCR3
Diseases	BMP7
Diseases	CXCL8
Diseases	FGF1
Diseases	EGF
Diseases	FGF2
Diseases	ELN
Diseases	CXCL2
Diseases	DSP
Diseases	CSF2
Diseases	STN1
Diseases	FGF7
Diseases	CSF3
Diseases	SKIL
Diseases	DPP9
Diseases	SPP1
Diseases	FAM13A
Diseases	EDN1
Diseases	IL4
Diseases	IL5
Diseases	ATP11A
Diseases	IL6
Diseases	PARN
Diseases	MUC5B
Diseases	SFTPA2
Diseases	CCR2
Diseases	PDGFB
Diseases	TERT
Diseases	SFTPC
Diseases	NFE2L2
Diseases	PDGFA
Diseases	MECP2
Diseases	CCL2
Diseases	CCL3
Diseases	IL1B
Diseases	IGF1
Diseases	CALCA
Diseases	CMA1
Diseases	CYSLTR2
Diseases	HMOX1
Diseases	SMAD7
Diseases	TGFB1
Diseases	CCL11
Diseases	TNF
Diseases	SERPINA1
Diseases	CCL5
Diseases	SFTPA1
Diseases	HGF
Diseases	CCL4
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL17A
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL18
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensZBTB16
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL33
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL4
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL5
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL15
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensBCL11B
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL6
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL12A
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL12B
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL13
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL7
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensID2
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensNFIL3
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensEOMES
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensTSLP
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL22
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensTBX21
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL1B
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL23A
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL9
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIFNG
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensIL25
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensHNF1A
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensAREG
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensGATA3
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensRORA
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensAHR
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensGFI1
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensTNF
Development	andheterogeneityoftheILCfamily%WikiPathways_20181110%WP3893%HomosapiensTOX
Cytokines	RNN
Cytokines	STAT2
Cytokines	IL10RB
Cytokines	IL10RA
Cytokines	HMOX1
Cytokines	BLVRB
Cytokines	BLVRA
Cytokines	TOLLIP
Cytokines	TGFB3
Cytokines	TGFB2
Cytokines	TAB1
Cytokines	NFKBIA
Cytokines	MYD88
Cytokines	MAPK8
Cytokines	MAPK14
Cytokines	MEIS2
Cytokines	MAP2K6
Cytokines	MAP2K3
Cytokines	JUN
Cytokines	IRAK3
Cytokines	IRAK2
Cytokines	IRAK1
Cytokines	IL1RN
Cytokines	IL1RAP
Cytokines	IL1R1
Cytokines	IFNA1
Cytokines	ECSIT
Cytokines	CHUK
Cytokines	CXCL1
Cytokines	CD4
Cytokines	IL10
Cytokines	IL4
Cytokines	IL11
Cytokines	IL5
Cytokines	IL15
Cytokines	IL12B
Cytokines	IL7
Cytokines	IL13
Cytokines	IL1A
Cytokines	PDGFA
Cytokines	IL1B
Cytokines	IFNB1
Cytokines	IFNG
Cytokines	CXCL2
Cytokines	IL2
Cytokines	CSF1
Cytokines	CSF2
Cytokines	TGFB1
Cytokines	HLA-DRA
Cytokines	IL3
Cytokines	HLA-DRB1
Cytokines	CSF3
Cytokines	TNF
Cytokines	VAV1
Cytokines	MAP2K2
Cytokines	MAP2K1
Cytokines	MAP2K4
Cytokines	CREBBP
Cytokines	CRP
Cytokines	IL6
Cytokines	JUNB
Cytokines	AGT
Cytokines	NR2F6
Cytokines	IL6R
Cytokines	IL6ST
Cytokines	HCK
Cytokines	VIP
Cytokines	SHC1
Cytokines	PIK3R2
Cytokines	TIMP1
Cytokines	PIK3R1
Cytokines	TYK2
Cytokines	IRF1
Cytokines	GAB1
Cytokines	NLK
Cytokines	RAC1
Cytokines	PRDM1
Cytokines	NCOA1
Cytokines	BCL2L1
Cytokines	GRB2
Cytokines	BAD
Cytokines	SOCS3
Cytokines	HDAC1
Cytokines	SOS1
Cytokines	STAT1
Cytokines	PTPN11
Cytokines	RPS6KB1
Cytokines	PRKCD
Cytokines	IL17A
Cytokines	AKT1
Cytokines	IKBKG
Cytokines	IL17B
Cytokines	GSK3B
Cytokines	CEBPB
Cytokines	CEBPD
Cytokines	IKBKB
Cytokines	MAP3K7
Cytokines	RELA
Cytokines	MAPK3
Cytokines	MAPK1
Cytokines	IL17RD
Cytokines	SP1
Cytokines	IL17C
Cytokines	IL17RB
Cytokines	TRAF3IP2
Cytokines	JAK2
Cytokines	JAK1
Cytokines	IL25
Cytokines	IL17D
Cytokines	MAP3K14
Cytokines	IL17RC
Cytokines	IL17RA
Cytokines	STAT3
Cytokines	NFKBIB
Cytokines	NFKB1
Cytokines	IL17F
Cytokines	TRAF6
Cytokines	IL17RE
