Pathway	entrezgene	Type	Type.1
Cytokines	9021	Gene	Cluster
Cytokines	572	Gene	Cluster
Cytokines	2885	Gene	Cluster
Cytokines	598	Gene	Cluster
Cytokines	8648	Gene	Cluster
Cytokines	639	Gene	Cluster
Cytokines	5879	Gene	Cluster
Cytokines	51701	Gene	Cluster
Cytokines	2549	Gene	Cluster
Cytokines	7297	Gene	Cluster
Cytokines	5295	Gene	Cluster
Cytokines	5296	Gene	Cluster
Cytokines	6464	Gene	Cluster
Cytokines	3055	Gene	Cluster
Cytokines	2063	Gene	Cluster
Cytokines	183	Gene	Cluster
Cytokines	3726	Gene	Cluster
Cytokines	1387	Gene	Cluster
Cytokines	6416	Gene	Cluster
Cytokines	5604	Gene	Cluster
Cytokines	5605	Gene	Cluster
Cytokines	7409	Gene	Cluster
Allograft rejection	7432	InflGene	Cluster
Allograft rejection	3560	InflGene	Cluster
Allograft rejection	1277	InflGene	Cluster
Allograft rejection	7132	InflGene	Cluster
Allograft rejection	7133	InflGene	Cluster
Allograft rejection	2335	Gene	Cluster
Allograft rejection	3566	InflGene	Cluster
Allograft rejection	3561	Gene	Cluster
Allograft rejection	100616340	Gene	Cluster
Allograft rejection	1281	Gene	Cluster
Allograft rejection	3913	Gene	Cluster
Allograft rejection	100500837	Gene	Cluster
Allograft rejection	3915	Gene	Cluster
Allograft rejection	3918	Gene	Cluster
Allograft rejection	1278	Gene	Cluster
Allograft rejection	7535	Gene	Cluster
Allograft rejection	3932	Gene	Cluster
Allograft rejection	3911	Gene	Cluster
Allograft rejection	3912	Gene	Cluster
Allograft rejection	7057	Gene	Cluster
Allograft rejection	7059	Gene	Cluster
Allograft rejection	102465836	Gene	Cluster
Allograft rejection	3568	Gene	Cluster
Allograft rejection	7448	Gene	Cluster
Inflammation	929	InflGene	Cluster
Inflammation	7099	InflGene	Cluster
Inflammation	7189	Gene	Cluster
Inflammation	5594	Gene	Cluster
Inflammation	4792	InflGene	Cluster
Inflammation	7124	InflGene	Cluster
Inflammation	4057	InflGene	Cluster
Inflammation	3552	InflGene	Cluster
Inflammation	7097	InflGene	Cluster
Inflammation	3439	Gene	Cluster
Inflammation	177	InflGene	Cluster
Inflammation	3569	InflGene	Cluster
Inflammation	3456	Gene	Cluster
Inflammation	51135	Gene	Cluster
Inflammation	3576	InflGene	Cluster
Inflammation	3553	InflGene	Cluster
Inflammation	3654	Gene	Cluster
Inflammation	4615	InflGene	Cluster
Inflammation	54210	Gene	Cluster
Diseases	6351	InflGene	Cluster
Diseases	6352	InflGene	Cluster
Diseases	5265	InflGene	Cluster
Diseases	3162	InflGene	Cluster
Diseases	796	InflGene	Cluster
Diseases	6348	InflGene	Cluster
Diseases	6347	InflGene	Cluster
Diseases	5154	Gene	Cluster
Diseases	729230	Gene	Cluster
Diseases	1906	InflGene	Cluster
Diseases	6696	InflGene	Cluster
Diseases	1440	Gene	Cluster
Diseases	1437	InflGene	Cluster
Diseases	2920	InflGene	Cluster
Diseases	2247	InflGene	Cluster
Diseases	3576	InflGene	Cluster
Diseases	1232	InflGene	Cluster
Diseases	7076	InflGene	Cluster
Diseases	1051	Gene	Cluster
Diseases	5806	InflGene	Cluster
Diseases	4313	InflGene	Cluster
Diseases	4318	InflGene	Cluster
Diseases	3082	Gene	Cluster
Diseases	653509	Gene	Cluster
Diseases	4092	Gene	Cluster
Diseases	57105	Gene	Cluster
Diseases	1215	Gene	Cluster
Diseases	3479	Gene	Cluster
Diseases	4204	Gene	Cluster
Diseases	4780	Gene	Cluster
Diseases	6440	Gene	Cluster
Diseases	7015	Gene	Cluster
Diseases	5155	Gene	Cluster
Diseases	729238	Gene	Cluster
Diseases	727897	Gene	Cluster
Diseases	5073	Gene	Cluster
Diseases	23250	Gene	Cluster
Diseases	10144	Gene	Cluster
Diseases	91039	Gene	Cluster
Diseases	6498	Gene	Cluster
Diseases	2252	Gene	Cluster
Diseases	79991	Gene	Cluster
Diseases	1832	Gene	Cluster
Diseases	2006	Gene	Cluster
Diseases	1950	Gene	Cluster
Diseases	2246	Gene	Cluster
Diseases	655	Gene	Cluster
Diseases	4502	Gene	Cluster
Diseases	7039	Gene	Cluster
Diseases	1490	Gene	Cluster
Diseases	255520	Gene	Cluster
Diseases	51750	Gene	Cluster
Diseases	26585	Gene	Cluster
Diseases	5328	Gene	Cluster
Cytokines	406984	Gene	Cluster
Cytokines	406983	Gene	Cluster
Cytokines	406985	Gene	Cluster
Cytokines	652995	Gene	Cluster
Cytokines	3590	Gene	Cluster
Cytokines	3718	Gene	Cluster
Cytokines	6935	Gene	Cluster
Cytokines	6659	Gene	Cluster
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	7124	InflGene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3162	InflGene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	5293	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3569	InflGene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	1401	InflGene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	2335	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3576	InflGene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	5742	InflGene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	10000	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	5743	InflGene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3681	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	1282	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	581	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	596	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	896	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	1001	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3909	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	4798	Gene	Pathway
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	5747	Gene	Pathway
NFkB	7422	InflGene	Cluster
NFkB	3383	InflGene	Cluster
NFkB	1437	InflGene	Cluster
NFkB	3558	InflGene	Cluster
NFkB	959	InflGene	Cluster
NFkB	7132	InflGene	Cluster
NFkB	6401	InflGene	Cluster
NFkB	7412	InflGene	Cluster
NFkB	3552	InflGene	Cluster
NFkB	4312	InflGene	Cluster
NFkB	5743	InflGene	Cluster
NFkB	4313	InflGene	Cluster
NFkB	4314	InflGene	Cluster
NFkB	4318	InflGene	Cluster
NFkB	595	Gene	Cluster
NFkB	332	Gene	Cluster
NFkB	597	Gene	Cluster
NFkB	599	Gene	Cluster
NFkB	5971	Gene	Cluster
NFkB	112398	Gene	Cluster
NFkB	5966	Gene	Cluster
NFkB	8837	Gene	Cluster
Inflammation	1956	InflGene	Cluster
Inflammation	5294	Gene	Cluster
Inflammation	5595	Gene	Cluster
Inflammation	5290	Gene	Cluster
Inflammation	5291	Gene	Cluster
Inflammation	5293	Gene	Cluster
Inflammation	4312	InflGene	Cluster
Inflammation	10000	Gene	Cluster
Inflammation	5743	InflGene	Cluster
Inflammation	207	InflGene	Cluster
Inflammation	208	Gene	Cluster
Inflammation	6714	Gene	Cluster
Inflammation	3845	InflGene	Cluster
Inflammation	4893	Gene	Cluster
Inflammation	2099	Gene	Cluster
Inflammation	3265	Gene	Cluster
Inflammation	673	Gene	Cluster
Inflammation	51365	Gene	Cluster
Inflammation	5731	Gene	Cluster
Inflammation	5732	Gene	Cluster
Inflammation	5733	Gene	Cluster
Inflammation	5734	Gene	Cluster
Inflammation	80142	Gene	Cluster
Inflammation	1588	Gene	Cluster
Inflammation	4790	InflGene	Cluster
Inflammation	1432	InflGene	Cluster
Inflammation	5970	InflGene	Cluster
Inflammation	3551	Gene	Cluster
Inflammation	3593	InflGene	Cluster
Inflammation	3592	InflGene	Cluster
Inflammation	1147	Gene	Cluster
Inflammation	56729	InflGene	Cluster
Inflammation	8517	Gene	Cluster
Inflammation	5335	Gene	Cluster
Inflammation	5336	Gene	Cluster
Inflammation	5330	Gene	Cluster
Inflammation	5331	Gene	Cluster
Inflammation	5332	Gene	Cluster
Inflammation	5333	Gene	Cluster
Inflammation	113026	Gene	Cluster
Inflammation	23236	Gene	Cluster
Inflammation	84812	Gene	Cluster
Inflammation	51196	Gene	Cluster
Inflammation	3708	Gene	Cluster
Immune cell regulation	6351	InflGene	Cluster
Immune cell regulation	1437	InflGene	Cluster
Immune cell regulation	3558	InflGene	Cluster
Immune cell regulation	1236	InflGene	Cluster
Immune cell regulation	1234	InflGene	Cluster
Immune cell regulation	1232	InflGene	Cluster
Immune cell regulation	6348	InflGene	Cluster
Immune cell regulation	959	InflGene	Cluster
Immune cell regulation	729230	Gene	Cluster
Immune cell regulation	7852	Gene	Cluster
Immune cell regulation	2833	InflGene	Cluster
Immune cell regulation	3567	InflGene	Cluster
Immune cell regulation	940	Gene	Cluster
Immune cell regulation	3566	InflGene	Cluster
Immune cell regulation	920	Gene	Cluster
Immune cell regulation	8809	Gene	Cluster
Immune cell regulation	1233	Gene	Cluster
Immune cell regulation	1230	Gene	Cluster
Immune cell regulation	3595	Gene	Cluster
Immune cell regulation	3594	Gene	Cluster
Cytokines	7043	Gene	Cluster
Cytokines	4792	InflGene	Cluster
Cytokines	7042	Gene	Cluster
Cytokines	3439	Gene	Cluster
Cytokines	3557	InflGene	Cluster
Cytokines	1432	InflGene	Cluster
Cytokines	3554	InflGene	Cluster
Cytokines	5599	Gene	Cluster
Cytokines	3654	Gene	Cluster
Cytokines	3656	Gene	Cluster
Cytokines	10454	Gene	Cluster
Cytokines	5608	Gene	Cluster
Cytokines	1147	Gene	Cluster
Cytokines	4214	Gene	Cluster
Cytokines	4615	InflGene	Cluster
Cytokines	3725	Gene	Cluster
Cytokines	5606	Gene	Cluster
Cytokines	54472	Gene	Cluster
Cytokines	3556	Gene	Cluster
Cytokines	51295	Gene	Cluster
Cytokines	11213	Gene	Cluster
NFkB	7099	InflGene	Cluster
NFkB	7097	InflGene	Cluster
NFkB	7096	Gene	Cluster
NFkB	54106	InflGene	Cluster
NFkB	4615	InflGene	Cluster
NFkB	3725	Gene	Cluster
NFkB	7100	Gene	Cluster
NFkB	7334	Gene	Cluster
NFkB	92610	Gene	Cluster
NFkB	7335	Gene	Cluster
NFkB	51284	Gene	Cluster
NFkB	81793	Gene	Cluster
NFkB	51311	Gene	Cluster
NFkB	10333	Gene	Cluster
Vitamin B12	6352	InflGene	Cluster
Vitamin B12	348	InflGene	Cluster
Vitamin B12	326625	Gene	Cluster
Vitamin B12	6948	Gene	Cluster
Vitamin B12	6947	Gene	Cluster
Vitamin B12	8029	Gene	Cluster
Vitamin B12	4594	Gene	Cluster
Vitamin B12	4036	Gene	Cluster
Vitamin B12	2694	Gene	Cluster
Vitamin B12	84693	Gene	Cluster
Inflammation	7421	InflGene	Cluster
Inflammation	5608	Gene	Cluster
Inflammation	2908	InflGene	Cluster
Inflammation	4214	Gene	Cluster
Inflammation	5606	Gene	Cluster
Inflammation	6256	Gene	Cluster
Inflammation	4088	Gene	Cluster
Inflammation	4089	Gene	Cluster
Inflammation	5530	Gene	Cluster
Inflammation	4772	Gene	Cluster
Inflammation	9282	Gene	Cluster
Inflammation	1843	Gene	Cluster
Inflammation	5534	Gene	Cluster
