source	target
MAPK9	TRAF6
MAPK9	BDNF
MAPK9	SHC1
INS	VEGFA
INS	AKT1
INS	PIK3R1
INS	SHC1
INS	TNF
INS	ADIPOQ
INS	IL6
INS	POMC
THBS1	VEGFC
THBS1	VEGFA
THBS1	ITGB3
THBS1	ITGA4
THBS1	ITGB1
THBS1	MMP9
THBS1	TGFB2
THBS1	FN1
THBS1	PDGFB
THBS1	PLG
THBS1	PF4
THBS1	ALB
THBS1	VCAM1
THBS1	APP
THBS1	KNG1
THBS1	VWF
CBL	GNB1
CBL	FGF1
CBL	VEGFA
CBL	LDLR
CBL	ITGB3
CBL	UBC
CBL	TYK2
CBL	PIK3R1
CBL	AGTR1
CBL	FGFR2
CBL	SHC1
CBL	UBA52
CBL	TF
CBL	IL6
CBL	INS
CBL	HLA-DRA
CBL	JAK2
CBL	PIK3CD
CBL	SRC
CBL	IL6R
CBL	CD3E
CBL	TFRC
CBL	HLA-DRB1
CBL	JAK1
CBL	PTPN11
CBL	HSP90AA1
CBL	GNG2
CBL	PDGFB
CBL	SOCS3
CBL	CSF1
CBL	UBB
CBL	INSR
CBL	FLT1
CBL	RPS27A
CBL	FGF2
RETN	ELANE
RETN	ADIPOQ
RETN	INS
RETN	CXCL1
RETN	LCN2
RETN	TOLLIP
RETN	LEP
RETN	GALNS
RETN	TIMP2
RETN	TCN1
RETN	CHI3L1
RETN	PYCARD
RETN	C3
RETN	PRTN3
RETN	LTF
RETN	NFKB1
RETN	MPO
LAMA3	ITGB1
LAMA3	SRC
LAMA3	PTK2
BCL2A1	RELA
BCL2A1	BCL2
BCL2A1	TP53
LTF	ELANE
LTF	CST3
LTF	CXCL1
LTF	LCN2
LTF	MMP9
LTF	HBB
LTF	TOLLIP
LTF	APP
LTF	FTH1
LTF	TIMP2
LTF	TCN1
LTF	CHI3L1
LTF	TNFAIP6
BLVRB	BLVRA
CHI3L1	ELANE
CHI3L1	CXCL1
CHI3L1	LCN2
CHI3L1	TOLLIP
CHI3L1	TIMP2
CHI3L1	TCN1
IRF7	IKBKG
IRF7	IRF3
IRF7	IKBKE
IRF7	TRAF3
IRF7	TRAF6
IRF7	TICAM2
IRF7	MAVS
IRF7	MYD88
IRF7	CD44
IRF7	IRAK4
IRF7	RELA
IRF3	IKBKG
IFNG	PIK3R1
IFNG	IL10
IFNG	TNF
IFNG	IL6
IFNG	RELA
IFNG	MAP3K1
IFNG	JAK2
IFNG	FOXP3
IFNG	PTPN1
IFNG	JUN
IFNG	STAT1
IFNG	JAK1
IFNG	PTPN11
IFNG	HSP90AA1
IFNG	SOCS3
IFNG	CXCL10
IFNG	CBL
IFNG	PIK3CA
IFNG	IL1B
IFNG	IL5
IFNG	IL4
MMP9	VEGFA
MMP9	TNF
MMP9	CD44
MMP9	IL6
MMP9	CST3
MMP9	ITGB2
MMP9	CXCL1
MMP9	EDN1
MMP9	SRC
MMP9	LCN2
IRAK4	IKBKG
IRAK4	TRAF6
IRAK4	IKBKB
IRAK4	TICAM2
IRAK4	MYD88
IRAK3	TRAF6
IRAK3	MYD88
IRAK3	IRAK4
IRAK3	IL1R1
IRAK3	IRAK1
IRAK3	IL1RAP
IRAK3	TOLLIP
IRAK3	IL1B
IRAK3	IL1A
PLAUR	ELANE
PLAUR	ITGB3
PLAUR	ITGB2
PLAUR	ITGB1
PLAUR	SRC
PLAUR	PLAU
PLAUR	ITGAL
PLAUR	FN1
ATP6AP2	ITGB2
MMP3	BDNF
MMP3	SPP1
MMP3	MMP9
MMP3	LAMA3
MMP3	MMP1
MMP3	PLG
MMP3	STAT6
MMP2	VEGFA
MMP2	ANGPT1
MMP2	CD44
MMP2	ITGB2
MMP2	TEK
MMP2	EDN1
MMP2	SRC
MMP2	MMP9
MMP2	HSP90AA1
MMP2	LAMA3
MMP2	MMP1
MMP2	STAT6
MMP2	MMP3
MMP2	TIMP3
MMP2	STAT3
MMP2	TIMP2
MMP2	THBS1
DDX58	IKBKG
DDX58	IRF3
DDX58	IKBKE
DDX58	TRAF3
DDX58	UBC
DDX58	TRAF6
DDX58	IKBKB
DDX58	MAVS
DDX58	UBA52
DDX58	RELA
DDX58	MAP3K1
DDX58	IRF7
DDX58	IFNB1
MMP1	ELANE
MMP1	MMP9
MMP1	TPSAB1
BDKRB1	CCL4
