source_id	target_id	common_neighbors
NFkB	PTPN11	6
NFkB	PIK3R1	12
NFkB	JUN	16
NFkB	AKT1	14
NFkB	CBL	2
NFkB	PIK3CA	5
NFkB	IL13	7
NFkB	IL6	23
NFkB	JAK1	8
NFkB	IL7	1
NFkB	JAK2	11
NFkB	IL17A	3
NFkB	CSF2	4
NFkB	IRAK4	16
NFkB	TOLLIP	7
NFkB	IL18	5
NFkB	IL1RAP	5
NFkB	CASP1	13
NFkB	CCL5	8
NFkB	CCL21	1
NFkB	CXCL10	4
NFkB	AGT	7
NFkB	GNG2	6
NFkB	CXCL8	9
NFkB	PF4	2
NFkB	KNG1	1
NFkB	CXCL1	8
NFkB	GAL	1
NFkB	C3	2
NFkB	CXCR3	4
NFkB	APP	4
NFkB	CCL20	4
NFkB	SAA1	13
NFkB	GNB1	11
NFkB	CNR2	3
NFkB	CCL4	14
NFkB	AGTR2	4
NFkB	CXCL2	9
NFkB	ANXA1	3
NFkB	BDKRB2	6
NFkB	POMC	4
NFkB	IRF3	19
NFkB	CD44	6
NFkB	HIF1A	4
NFkB	CCL11	2
NFkB	BLVRA	1
NFkB	SRC	17
NFkB	EIF4EBP1	2
NFkB	HMGB1	8
NFkB	TYK2	10
NFkB	FN1	6
NFkB	S100B	4
NFkB	DUSP10	4
NFkB	F2R	3
NFkB	FOXO3	5
NFkB	F2	5
NFkB	SMAD1	2
NFkB	FOXO1	2
NFkB	AGER	8
NFkB	PTK2	6
NFkB	FGFR2	3
NFkB	MYC	11
NFkB	NGF	6
NFkB	S100A12	6
NFkB	EDN1	9
NFkB	ITGB3	10
NFkB	FGF1	2
NFkB	HSP90AB1	4
NFkB	IL6R	3
NFkB	PPARA	7
NFkB	FGF2	3
NFkB	IL12B	3
NFkB	IL12A	2
NFkB	REL	3
NFkB	CARD9	7
NFkB	SUGT1	5
NFkB	CCND1	1
NFkB	KDR	4
NFkB	TAB1	3
NFkB	MAPK12	1
NFkB	IFNB1	4
NFkB	ZBP1	8
NFkB	TNFSF10	2
NFkB	ELANE	6
NFkB	NLRC4	5
NFkB	NLRP1	7
NFkB	NLRP3	5
NFkB	CASP5	3
NFkB	GALNS	2
NFkB	CARD8	2
NFkB	TF	4
NFkB	PRKCSH	4
NFkB	CST3	5
NFkB	ITGB1	6
NFkB	ITGA4	3
NFkB	TP73	2
NFkB	LTF	1
NFkB	BCL2A1	1
NFkB	ANGPT1	5
NFkB	TEK	3
NFkB	LCN2	3
NFkB	TIMP2	2
NFkB	EPO	2
NFkB	ITGB2	10
NFkB	TLR2	2
NFkB	IL23A	2
NFkB	CREBBP	4
NFkB	TCN1	1
NFkB	CHI3L1	1
NFkB	PPARG	2
NFkB	TXNIP	1
NFkB	PARP1	1
NFkB	ZBTB16	1
NFkB	ENSP00000344166	1
NFkB	TLR7	7
NFkB	TLR6	5
NFkB	TIRAP	8
NFkB	PYCARD	2
NFkB	PSTPIP1	1
NFkB	BDNF	4
NFkB	VEGFA	12
NFkB	CAPZA2	4
NFkB	GATA3	5
NFkB	ERBB2IP	2
NFkB	NR3C2	1
NFkB	AGTR1	3
NFkB	PTGS2	2
NFkB	MMP9	5
NFkB	ICAM1	2
NFkB	CCL3	2
NFkB	DEFB4A	1
NFkB	PLAU	1
NFkB	COL2A1	2
NFkB	VWF	2
NFkB	PLAUR	1
NFkB	COL4A1	2
NFkB	CSF1	3
NFkB	PDGFB	2
NFkB	ITGAD	2
NFkB	ITGAL	2
NFkB	SPP1	4
NFkB	CCK	1
NFkB	ALB	1
NFkB	LTB4R	1
NFkB	F2RL1	1
NFkB	TAC1	1
NFkB	INS	1
NFkB	PLG	2
NFkB	HSP90B1	2
NFkB	VEGFC	2
NFkB	CALCA	1
NFkB	RELB	1
NFkB	NOS2	1
NFkB	VCAM1	2
NFkB	STAT2	1
NFkB	NAIP	1
NFkB	CFLAR	3
NFkB	TPSAB1	1
NFkB	TLR5	3
NFkB	TIMP3	1
NFkB	STAT6	5
NFkB	MMP1	2
NFkB	LAMA3	2
NFkB	MMP3	1
NFkB	THBS1	1
NFkB	TLR8	3
NFkB	TLR1	3
NFkB	IL33	1
NFkB	HLA-DRB1	3
NFkB	HLA-DRA	3
NFkB	SELE	2
NFkB	EGR1	1
NFkB	HNF1A	2
NFkB	ITGAV	1
NFkB	IL2	1
NFkB	TSC2	1
NFkB	CTSG	1
NFkB	MPO	1
NFkB	HGF	1
NFkB	PRTN3	1
NFkB	CDH1	1
NFkB	RETN	1
NFkB	ATP6AP2	1
NFkB	CARD6	1
NFkB	E2F1	1
NFkB	CCND3	1
NFkB	APOB	1
NFkB	S100A9	1
NFkB	IL1RN	1
NFkB	IRAK3	1
NFkB	HSPA4	1
NFkB	ADIPOQ	1
NFkB	NFE2L2	1
Angiogenesis	CXCL8	4
Angiogenesis	TAB3	1
Angiogenesis	MAPK10	1
Angiogenesis	CARD9	1
Angiogenesis	MAP2K3	1
Angiogenesis	TP53	5
Angiogenesis	MAP3K7	1
Angiogenesis	ANGPT1	4
Angiogenesis	IL1B	2
Angiogenesis	STAT3	6
Angiogenesis	TRAF2	1
Angiogenesis	EPO	2
Angiogenesis	GNB1	13
Angiogenesis	TEK	3
Angiogenesis	JAK1	6
Angiogenesis	TAB2	1
Angiogenesis	TRAF6	2
Angiogenesis	CD40	2
Angiogenesis	MYC	5
Angiogenesis	MAP3K1	2
Angiogenesis	EDN1	12
Angiogenesis	TNF	3
Angiogenesis	MAPK11	2
Angiogenesis	RIPK1	1
Angiogenesis	CREBBP	1
Angiogenesis	RELA	6
Angiogenesis	CD40LG	2
Angiogenesis	GNG2	5
