entrezgene	logFC_SLE	PValue_SLE
30598	-1.3550373673698	5.96305005667562e-13
8721	-0.913476355972309	6.12224369605492e-13
30799	-1.21561168722533	6.31524943977114e-13
23692	-0.761012169494073	6.47919613613274e-13
34058	1.04188070571135	6.52797481504332e-13
13966	-0.315750869974406	7.04667208467264e-13
52351	-0.476470520034435	7.14530562194158e-13
17561	-0.350310837482994	7.22558395600982e-13
10384	-0.818866327678715	7.39147933692005e-13
53612	0.481719960079005	7.40328256183686e-13
28254	-2.91120575117698	7.46880319821132e-13
15198	-0.618715561976118	7.64902897126267e-13
31125	-1.10958136220854	7.80868788184486e-13
34963	-0.651064699019147	7.93777194024389e-13
5476	-3.05072081982338	7.95359364693492e-13
53688	0.550833277506473	8.91217206663304e-13
9154	-0.547650039096796	8.9499046652736e-13
41831	-0.882475648339098	9.01573895783091e-13
53703	0.256311414293307	9.01612565518885e-13
44368	-0.663401464635879	9.2343837330451e-13
26719	-1.63063748590804	9.95267208714814e-13
26726	-0.86341756706072	1.05905199721147e-12
33035	-0.642004263146986	1.07002128470325e-12
9257	0.323785785269662	1.09024897672905e-12
32151	0.463925168360971	1.09815606011012e-12
17828	-1.01824196817026	1.10294797531803e-12
44529	-0.646645761752137	1.10505738847897e-12
11983	-0.908268937551443	1.11535465750098e-12
25488	0.465155308048219	1.13496329898992e-12
22726	-1.0824281374717	1.14654708239002e-12
22300	0.486191442363563	1.16663921374546e-12
52406	-1.00449524259932	1.19711609935094e-12
25611	0.625317306254138	1.22531141133884e-12
41274	-0.507584100671496	1.25373347523606e-12
9987	-0.981952891406672	1.26027341133595e-12
23844	0.434767351875589	1.28127815105351e-12
19142	1.35275018325952	1.29546667929223e-12
31002	-0.641097421721285	1.34934079060688e-12
30650	-0.548342702447517	1.36841831026904e-12
39989	-0.531953374667567	1.40751988518821e-12
46959	1.29921257258812	1.45157056133119e-12
21545	0.400812322479127	1.45907084867281e-12
24078	0.431481342097383	1.47727319702246e-12
12632	-0.445776501652472	1.50286257824247e-12
30895	-0.670468206145336	1.51614566185312e-12
28777	-0.323889053776186	1.55226954936077e-12
33356	0.543992702419004	1.61215422167445e-12
34846	-0.752985725015816	1.63936755365854e-12
17827	-0.992147700985707	1.7802525572775e-12
51511	-1.09651345372073	1.8129508235057e-12
12951	-2.16584801197877	1.89239639778339e-12
33980	0.679364100511371	1.90175851410162e-12
5884	-0.644101033500123	2.03136384275934e-12
34860	-0.653297081685798	2.06454809708331e-12
35259	0.375277741032163	2.17256525060262e-12
25796	-0.659694134053802	2.24029827975168e-12
